Number,Symbol,Name,Details,Version,Token Address,Etherscan Link,Owner,Granularity,Total Supply,Transfers Frozen,Minting Frozen,Controller,Investor,Latest Checkpoint,Modules Attached (PermissionManager),Modules Attached (TransferManager),Modules Attached (STO),Modules Attached (Checkpoint),Modules Attached (Burn)
160,BKYA,Bookya,https://www.bookya.com/investor/,3.0.0,0x6dbb5378961c6bb18f0e9bf503ec00ee5ca6c4f2,https://etherscan.io/token/0x6dbb5378961c6bb18f0e9bf503ec00ee5ca6c4f2,0xeE8f150257b3ff397CDcb3eB14b6fd5763cc7244,1,"100,000,000",FALSE,TRUE,0x0000000000000000000000000000000000000000,1,0,0,1,0,0,0
161,CNODE,CryptoNode,https://www.cryptonode.me/investor/,3.0.0,0x81f4d69229c8cbcbf2f092fafb9612dd2feacaf9,https://etherscan.io/token/0x81f4d69229c8cbcbf2f092fafb9612dd2feacaf9,0x1A9638cd2b54B213717031ccab15Af672cA4e506,1,"100,000,000",FALSE,TRUE,0x0000000000000000000000000000000000000000,1,0,0,1,0,0,0
162,SONATA,Sonata Capital,https://www.sonata.capital/investor,3.0.0,0x697bbedac86bb8f13cbe757aea95e75fb830a99d,https://etherscan.io/token/0x697bbedac86bb8f13cbe757aea95e75fb830a99d,0x9f86C2105849F8aF776F841e312f20122c05F40F,1,"100,000,000",FALSE,TRUE,0x0000000000000000000000000000000000000000,1,0,0,1,0,0,0
163,BRIXCORP,BRIX International,https://www.brix.international/investor/,3.0.0,0xf9f3458db4e753bb511834275ecf60817234e77e,https://etherscan.io/token/0xf9f3458db4e753bb511834275ecf60817234e77e,0x8B8c315DC26413520DD53826a4c0C9d947c3Ba70,1,"100,000,000",FALSE,TRUE,0x0000000000000000000000000000000000000000,1,0,0,1,0,0,0
164,VPNSTK,VPNstack,https://www.vpnstack.io/investor,3.0.0,0xb2ae1345d4f7c9207c90ca16ca1158f7193b45b7,https://etherscan.io/token/0xb2ae1345d4f7c9207c90ca16ca1158f7193b45b7,0x88cfD220D5f72bd747C340053011EF3f9E559Cac,1,"100,000,000",FALSE,TRUE,0x0000000000000000000000000000000000000000,1,0,0,1,0,0,0
165,ROBOT,RobotInfra,https://www.robotinfra.com/investor,3.0.0,0xe156bac00c399296b5eb2f52fe439227e24cbfce,https://etherscan.io/token/0xe156bac00c399296b5eb2f52fe439227e24cbfce,0xBB1BCd6B6735888cBfb5cadeB6A241B75a691734,1,"100,000,000",FALSE,TRUE,0x0000000000000000000000000000000000000000,1,0,0,1,0,0,0
166,SNTX,SecuNet,https://www.secunet.io/investor,3.0.0,0x04bdb96778cfb7046d4e85973028af8369ea6b9e,https://etherscan.io/token/0x04bdb96778cfb7046d4e85973028af8369ea6b9e,0x3931001FeEFC7232DD68B8F97e5e43428374295E,1.00E+00,"100,000,000",FALSE,TRUE,0x0000000000000000000000000000000000000000,1,0,0,1,0,0,0
167,DSTS,MetalStream Platinum,https://www.metalstream.io/investor,3.0.0,0x8bc02f3db913d56c02bf2a68b78b109bc4528bd4,https://etherscan.io/token/0x8bc02f3db913d56c02bf2a68b78b109bc4528bd4,0x2CF67BfF2E7B98Df259a5F27c10B805D415400A6,1,0,FALSE,TRUE,0x0000000000000000000000000000000000000000,0,0,0,1,0,0,0
168,DSX,DSX,https://www.dsx.global/investor,3.0.0,0x3ad6ce742034273fe5ca436b3d8fbbb30b17b8be,https://etherscan.io/token/0x3ad6ce742034273fe5ca436b3d8fbbb30b17b8be,0x38af0e0e0623fC999762152F5747F3b854aa4De2,1,"100,000,000",FALSE,TRUE,0x0000000000000000000000000000000000000000,1,0,0,1,0,0,0
169,AFK,AFK Collection,https://www.afkcollection.com/investor,3.0.0,0xc37814cd15baeeb4ee5f777c76e7a0280964923f,https://etherscan.io/token/0xc37814cd15baeeb4ee5f777c76e7a0280964923f,0xA226Ca33fD5F7875C9Ac9630367810AA5A7e26C3,1,"100,000,000",FALSE,TRUE,0x0000000000000000000000000000000000000000,1,0,0,1,0,0,0
170,GRNRBR,Green Rubber,https://www.greenrubbergroup.com/investor/,3.0.0,0x754d12717bfb0b237ccd0c1a232af50844828fd1,https://etherscan.io/token/0x754d12717bfb0b237ccd0c1a232af50844828fd1,0x5F519d0FE7A42A5637F81b81aA79f864E6Cc59CD,1,"100,000,000",FALSE,TRUE,0x0000000000000000000000000000000000000000,1,0,0,1,0,0,0
171,CXGLD,Canamex Gold,https://www.canamexgold.com/investor,3.0.0,0xf1dd65acebf57d31eabc61ec9f2d2829e7d986d0,https://etherscan.io/token/0xf1dd65acebf57d31eabc61ec9f2d2829e7d986d0,0xf141Ef7dd3Cde8924a89C35Bc1bCcDd525E4Ba48,1,"10,000,000",FALSE,TRUE,0xf141Ef7dd3Cde8924a89C35Bc1bCcDd525E4Ba48,1,0,0,1,0,0,0
172,CXSLV,Canamex Silver,https://www.canamexgold.com/investor,3.0.0,0xed9dec5497fa2feb653acd4a3862740ae705c382,https://etherscan.io/token/0xed9dec5497fa2feb653acd4a3862740ae705c382,0xf141Ef7dd3Cde8924a89C35Bc1bCcDd525E4Ba48,1,"10,000,000",FALSE,TRUE,0xf141Ef7dd3Cde8924a89C35Bc1bCcDd525E4Ba48,1,0,0,1,0,0,0
173,EGX,Enegra,https://www.enegra.com/investor/,3.0.0,0x5e8f0e658aff673aa635a889c5b4f38f12e2a740,https://etherscan.io/token/0x5e8f0e658aff673aa635a889c5b4f38f12e2a740,0x2e31AE306D7CDd0bc9e75d38Ad19A26F0e337842,1,"100,000,000",FALSE,TRUE,0x0000000000000000000000000000000000000000,93,0,0,1,0,0,0
174,USDL,USD Loans Token,USDL,3.0.0,0x0b27dddc7718cb70702ed8ce38b10f4520d58b13,https://etherscan.io/token/0x0b27dddc7718cb70702ed8ce38b10f4520d58b13,0x470D0fF74A659f84F4167AC0A5adB8b34e612F2B,1,0,FALSE,TRUE,0x0000000000000000000000000000000000000000,0,0,0,1,0,0,0
149,V3DOTZERO,V3.0 Test Token,,3.0.0,0x6fc78f75290d4d38720ad041a9a0d5e2c9981e38,https://etherscan.io/token/0x6fc78f75290d4d38720ad041a9a0d5e2c9981e38,0xAc4BA9E98E97294C7D3E3e2d19C7a936e187B1BF,1,"1,032",FALSE,TRUE,0x0000000000000000000000000000000000000000,7,0,0,1,1,0,0
150,MTLSTR,MetalStream,,3.0.0,0x9e1ea347c63818763256abd9c8df3e77be473de8,https://etherscan.io/token/0x9e1ea347c63818763256abd9c8df3e77be473de8,0x258DE6d045AEB7B16e88eF41E0F9534229bC34D7,1,"100,000,000",FALSE,TRUE,0x0000000000000000000000000000000000000000,1,0,0,1,0,0,0
151,COSERA,Cosera,https://www.cosera.io/investor,3.0.0,0xcafc6df97d82b48b0119ddf78cdee9b6d68963b9,https://etherscan.io/token/0xcafc6df97d82b48b0119ddf78cdee9b6d68963b9,0x17ADD87a4582cFA4717914387f24C5aBB06dE44E,1,"100,000,000",FALSE,TRUE,0x0000000000000000000000000000000000000000,1,0,0,1,0,0,0
152,BNKR,BNKR,https://www.bnkr.app/investor,3.0.0,0x263bf64b5f7f9074852752bcfcc5ade3815d6959,https://etherscan.io/token/0x263bf64b5f7f9074852752bcfcc5ade3815d6959,0x140e270917caa7dc9c968ED87a348545b8238d17,1,"100,000,000",FALSE,TRUE,0x0000000000000000000000000000000000000000,1,0,0,1,0,0,0
153,RNTM,Remon's 3.x token,,3.0.0,0xdf1cf1bf286e8e0f475b50bb8690262123304b42,https://etherscan.io/token/0xdf1cf1bf286e8e0f475b50bb8690262123304b42,0x33A2CFF8182d82AF69EbFC5d3eDF8F699555f146,1,0,FALSE,TRUE,0x0000000000000000000000000000000000000000,1,0,0,1,0,0,0
154,PCTFM,PerceptCoin,https://www.perceptform.tech,3.0.0,0xa236ea9eaee4e12eedc0fe9a3be9578c19e879e9,https://etherscan.io/token/0xa236ea9eaee4e12eedc0fe9a3be9578c19e879e9,0x2091125bFE4259b2CfA889165Beb6290d0Df5DeA,1.00E+00,0,FALSE,TRUE,0x0000000000000000000000000000000000000000,0,0,0,1,0,0,0
155,CON,CON Distributed super computing platform,,3.0.0,0x4117f3e80c6c3405b4c2c3adf2199e472ae2fd65,https://etherscan.io/token/0x4117f3e80c6c3405b4c2c3adf2199e472ae2fd65,0x97a9dd74581bC80e2c4EdD66795754eE0a24E469,1,"512,600",FALSE,TRUE,0x0000000000000000000000000000000000000000,4,1,0,1,0,1,0
156,DSI,Digits Token,,3.0.0,0xfc39afe933ffb1c2adcd72d44b0b67870fbbecd0,https://etherscan.io/token/0xfc39afe933ffb1c2adcd72d44b0b67870fbbecd0,0x29bD1Ed897B911CE3CFa9073661f01A8BeEA3CCa,1.00E+18,"18,296,272",FALSE,TRUE,0x0000000000000000000000000000000000000000,101,0,0,1,0,0,0
157,99EAST,99East,https://www.99east.com/investor,3.0.0,0xca7a287c4e65e61c5a599e4e6947dbcb5cce33c1,https://etherscan.io/token/0xca7a287c4e65e61c5a599e4e6947dbcb5cce33c1,0x3bcF88B72618Bc16727808f1Db908639544BC628,1,"100,000,000",FALSE,TRUE,0x0000000000000000000000000000000000000000,1,0,0,1,0,0,0
158,BZBK,BizCbook Token,,3.0.0,0xb8517891e00219170ca8f2df3444c380778d3920,https://etherscan.io/token/0xb8517891e00219170ca8f2df3444c380778d3920,0xf6a49B7eA12e7ae0224e86c77A897b62Bcf7C583,1,"1,000,000,000",FALSE,TRUE,0x0000000000000000000000000000000000000000,1,0,0,1,0,0,0
